genome	rl	damagelevel	covbin	noContigs	totallength	alignmentlength	softcliplength
Msmithii	short	6	4	81	1779900	1757658	22239
Adentalis	medium	6	3	498	2594892	2547315	47571
Adentalis	medium	3	4	348	3266222	3135818	130403
Adentalis	long	4	7	109	3470660	3154993	315667
Adentalis	medium	9	7	124	3435942	3179454	256482
Adentalis	short	4	5	295	3227460	3140753	86698
Adentalis	medium	2	4	350	3241163	3112880	128282
Adentalis	short	4	6	288	3246002	3161063	84936
Msmithii	medium	0	7	36	1817411	1710383	107021
Adentalis	medium	5	6	141	3448806	3176623	272181
Adentalis	medium	9	6	136	3451145	3156502	294640
Msmithii	short	8	0	0	0	0	0
Msmithii	short	3	1	0	0	0	0
Adentalis	short	9	2	0	0	0	0
Adentalis	short	7	1	0	0	0	0
Msmithii	short	3	0	0	0	0	0
Adentalis	long	2	6	106	3464975	3208591	256383
Adentalis	long	3	4	186	3426310	3138020	288289
Adentalis	long	2	1	0	0	0	0
Msmithii	short	8	2	0	0	0	0
Adentalis	long	2	0	0	0	0	0
Adentalis	short	7	2	0	0	0	0
Adentalis	medium	2	1	0	0	0	0
Adentalis	medium	8	2	12	34604	33467	1137
Adentalis	medium	8	0	0	0	0	0
Adentalis	short	9	3	380	1505334	1488332	17002
Msmithii	medium	0	3	202	1679189	1666977	12212
Msmithii	short	6	7	56	1794241	1786984	7256
Adentalis	medium	2	3	505	2561362	2528638	32721
Msmithii	short	6	6	55	1787966	1782914	5049
Msmithii	short	8	7	58	1791520	1784676	6840
Adentalis	short	3	5	290	3219259	3127941	91317
Adentalis	medium	0	3	446	2979141	2933665	45425
Adentalis	short	9	4	392	3089272	3047147	41964
Adentalis	long	3	5	114	3459369	3141297	318064
Adentalis	long	2	5	113	3467042	3090117	376921
Adentalis	long	5	6	103	3468742	3196152	272589
Tforsythia	long	0	6	114	3262076	3084489	177509
Adentalis	long	6	4	179	3431435	3222638	208794
Msmithii	short	8	1	0	0	0	0
Adentalis	short	4	4	381	3095613	3068870	26743
Adentalis	long	8	1	1	2514	2405	109
Adentalis	short	5	6	283	3235403	3141519	93881
Adentalis	medium	7	7	133	3436749	3209659	227086
Adentalis	medium	6	1	0	0	0	0
Tforsythia	long	9	5	112	3264629	2922193	342265
Adentalis	medium	5	0	0	0	0	0
Adentalis	medium	6	0	0	0	0	0
Adentalis	short	4	1	0	0	0	0
Adentalis	long	6	1	0	0	0	0
Adentalis	long	4	1	1	2562	2453	109
Tforsythia	long	9	2	138	473263	466119	7143
Msmithii	short	9	4	90	1778467	1753017	25450
Adentalis	long	4	4	157	3432579	3128635	303901
Tforsythia	long	0	5	116	3264615	3014190	250253
Msmithii	short	6	3	250	1079122	1074198	4923
Adentalis	medium	6	7	137	3447147	3187932	259193
Adentalis	long	4	6	108	3468755	3145353	323401
Msmithii	short	8	4	89	1775704	1748613	27091
Msmithii	short	6	2	0	0	0	0
Adentalis	medium	2	5	177	3404247	3058087	346128
Adentalis	long	7	6	108	3470254	3202516	267737
Adentalis	medium	5	1	0	0	0	0
Msmithii	medium	3	6	38	1816257	1709072	107185
Adentalis	long	2	7	108	3472178	3250745	221433
Adentalis	short	9	0	0	0	0	0
Adentalis	medium	0	5	173	3403557	3017126	386430
Adentalis	short	3	7	291	3245381	3145424	99957
Msmithii	short	7	5	55	1788317	1783669	4648
Adentalis	long	8	5	111	3459173	3170760	288399
Adentalis	long	5	1	1	2519	2410	109
Adentalis	short	9	1	0	0	0	0
Adentalis	short	4	3	398	1560432	1544159	16273
Msmithii	short	6	1	0	0	0	0
Adentalis	short	8	1	0	0	0	0
Adentalis	long	2	4	184	3441193	3235596	205589
Adentalis	medium	2	0	0	0	0	0
Msmithii	medium	4	2	20	63701	60903	2798
Msmithii	short	6	5	59	1787084	1782439	4645
Msmithii	short	9	7	58	1794010	1786486	7523
Msmithii	short	3	3	239	1058011	1053879	4129
Adentalis	medium	5	5	190	3401277	3138220	263055
Msmithii	short	3	4	80	1780061	1750037	30021
Adentalis	medium	0	0	0	0	0	0
Adentalis	medium	2	7	127	3438910	3217886	221020
Msmithii	short	0	2	0	0	0	0
Adentalis	long	0	1	0	0	0	0
Msmithii	long	7	7	34	1819708	1818336	1371
Msmithii	short	2	3	238	1038444	1035965	2478
Msmithii	short	5	1	0	0	0	0
Adentalis	long	3	1	0	0	0	0
Adentalis	long	9	0	0	0	0	0
Tforsythia	short	7	5	160	3104526	3046306	58195
Adentalis	long	2	3	384	3204131	3121551	82560
Adentalis	medium	0	1	0	0	0	0
Tforsythia	short	1	0	0	0	0	0
Msmithii	short	3	2	0	0	0	0
Adentalis	medium	9	2	13	40569	40246	323
Msmithii	medium	0	0	0	0	0	0
Adentalis	medium	8	1	0	0	0	0
Msmithii	short	5	2	0	0	0	0
Tforsythia	long	0	4	115	3246869	2906858	339972
Msmithii	long	5	3	117	1781286	1732189	49078
Adentalis	long	3	6	108	3475469	3229138	246330
Tforsythia	long	9	6	114	3270290	3085242	185003
Adentalis	short	9	5	295	3230661	3140352	90309
Tforsythia	long	1	7	113	3252889	3096426	155953
Tforsythia	short	7	7	160	3123564	3053429	70117
Msmithii	long	3	3	119	1771655	1737476	34171
Msmithii	medium	3	1	0	0	0	0
Tforsythia	short	0	2	4	10846	10667	179
Adentalis	medium	1	2	24	72402	70418	1984
Msmithii	medium	6	3	226	1644903	1637098	7805
Msmithii	long	7	3	123	1770586	1754184	16398
Msmithii	long	8	3	128	1777629	1751372	26237
Msmithii	long	2	4	36	1814995	1763350	51640
Tforsythia	medium	4	4	206	3153840	3039654	114174
Tforsythia	medium	3	4	216	3154059	3095351	58698
Tforsythia	medium	5	3	428	2702453	2682719	19186
Tforsythia	short	4	4	226	3066737	3051153	15559
Tforsythia	long	4	6	111	3262624	3013671	248764
Tforsythia	long	6	6	112	3269373	2963581	305720
Tforsythia	short	7	4	216	3072294	3056116	16156
Adentalis	short	9	6	288	3244887	3168078	76806
Tforsythia	short	4	5	157	3103708	3011300	92382
Adentalis	medium	0	4	225	3351492	3125097	226393
Msmithii	medium	6	0	0	0	0	0
Tforsythia	short	1	1	0	0	0	0
Msmithii	medium	6	7	35	1817220	1724346	92873
Tforsythia	medium	5	4	216	3148126	3104372	43722
Adentalis	medium	0	6	133	3452536	3136210	316319
Msmithii	long	1	5	34	1818541	1722000	96541
Tforsythia	short	7	1	0	0	0	0
Adentalis	short	8	0	0	0	0	0
Msmithii	long	2	3	125	1777204	1763683	13513
Msmithii	long	0	4	33	1811388	1804178	7205
Tforsythia	short	1	3	415	1794697	1788672	6022
Msmithii	long	9	7	33	1819964	1774402	45562
Tforsythia	medium	2	3	434	2737810	2697241	40026
Adentalis	medium	0	7	126	3454727	3155738	298984
Tforsythia	short	0	0	0	0	0	0
Tforsythia	short	0	1	0	0	0	0
Adentalis	medium	1	1	0	0	0	0
Tforsythia	medium	3	2	24	76128	75722	406
Adentalis	medium	1	0	0	0	0	0
Msmithii	long	6	2	115	390542	389114	1427
Msmithii	medium	6	2	20	65381	63252	2129
Msmithii	long	9	3	132	1773001	1742942	30039
Msmithii	medium	6	5	41	1803814	1792235	11579
Msmithii	long	9	6	34	1817699	1772208	45491
Msmithii	long	4	6	31	1819888	1818536	1352
Tforsythia	medium	3	3	431	2756003	2721917	33571
Tforsythia	long	9	7	114	3271413	3059564	211767
Tforsythia	short	0	4	174	3097177	3083510	13646
Tforsythia	medium	2	4	230	3148192	3082722	65445
Msmithii	long	7	4	42	1816561	1800516	16041
Msmithii	medium	6	1	0	0	0	0
Msmithii	long	5	7	32	1817270	1793590	23680
Msmithii	long	4	2	120	422208	418792	3415
Tforsythia	long	5	2	188	653708	640898	12798
Adentalis	medium	1	3	514	2577605	2543141	34450
Tforsythia	short	0	5	157	3109936	3057704	52209
Tforsythia	medium	5	7	121	3244650	2994467	250116
Msmithii	long	8	5	32	1816481	1815741	738
Tforsythia	short	0	6	155	3119533	3081071	38443
Adentalis	short	8	2	0	0	0	0
Msmithii	long	3	2	121	414673	413597	1075
Msmithii	long	1	2	123	429115	425715	3399
Msmithii	long	0	6	33	1817603	1810756	6847
Tforsythia	short	7	3	404	1710261	1704463	5797
Msmithii	long	3	4	40	1815715	1804679	11026
Msmithii	long	3	6	35	1817361	1813020	4341
Tforsythia	long	5	5	116	3257894	3017652	240212
Tforsythia	medium	3	6	121	3235871	2974115	261167
Tforsythia	medium	4	6	127	3247492	3044026	203394
Tforsythia	medium	9	4	226	3157591	3089931	67624
Tforsythia	medium	3	5	127	3219397	2983343	236027
Tforsythia	short	1	5	165	3115580	3076055	39517
Msmithii	medium	6	6	39	1817070	1811451	5614
Adentalis	short	8	3	388	1515806	1503438	12368
Msmithii	long	0	2	138	484334	483181	1152
Msmithii	long	9	2	100	341739	339111	2627
Msmithii	long	1	4	40	1810716	1801434	9279
Tforsythia	medium	8	4	203	3136756	3062639	74078
Tforsythia	medium	3	7	113	3246244	2933018	313197
Tforsythia	short	5	0	0	0	0	0
Tforsythia	medium	6	1	0	0	0	0
Tforsythia	medium	4	1	0	0	0	0
Msmithii	medium	9	6	39	1818188	1703420	114762
Tforsythia	short	6	5	156	3106718	3028528	78165
Msmithii	short	4	0	0	0	0	0
Tforsythia	long	5	1	0	0	0	0
Msmithii	short	4	2	0	0	0	0
Tforsythia	long	2	1	0	0	0	0
Adentalis	long	8	2	128	419709	409996	9713
Tforsythia	short	4	7	159	3118450	3069262	49158
Tforsythia	medium	0	2	41	123239	122020	1219
Adentalis	short	8	4	387	3082968	3033993	48966
Msmithii	long	7	6	31	1819507	1779487	40020
Tforsythia	short	5	4	223	3067899	3054409	13480
Tforsythia	long	5	3	293	3118594	3052408	66172
Tforsythia	long	8	7	110	3258842	3025936	232858
Adentalis	short	4	7	289	3245890	3157868	88019
Tforsythia	long	2	0	0	0	0	0
Tforsythia	long	5	0	0	0	0	0
Adentalis	short	1	1	0	0	0	0
Tforsythia	short	8	1	0	0	0	0
Tforsythia	medium	7	2	28	80982	80473	509
Tforsythia	medium	7	3	430	2717704	2687582	29588
Tforsythia	short	9	5	160	3105683	3058730	46918
Tforsythia	short	5	5	162	3111510	3078382	33120
Msmithii	medium	9	7	34	1816460	1750602	65851
Tforsythia	short	6	6	154	3113208	3074685	38504
Adentalis	long	8	0	0	0	0	0
Tforsythia	short	5	1	0	0	0	0
Tforsythia	short	5	7	159	3118163	3097924	20212
Adentalis	medium	9	4	351	3255032	3148307	106721
Msmithii	short	4	3	241	1053792	1049176	4615
Tforsythia	medium	6	5	134	3212581	3041293	171220
Tforsythia	long	3	6	112	3257613	2987641	269957
Tforsythia	long	2	5	111	3267577	3006801	260577
Msmithii	medium	2	0	0	0	0	0
Tforsythia	long	2	6	118	3264891	3084152	180647
Msmithii	short	4	7	52	1793580	1777027	16549
Tforsythia	long	5	4	147	3245351	3060937	184358
Tforsythia	long	4	1	1	2584	2283	301
Adentalis	short	1	3	398	1575432	1557433	17999
Tforsythia	short	3	7	158	3115682	3036877	78773
Adentalis	medium	7	1	0	0	0	0
Tforsythia	long	3	1	0	0	0	0
Adentalis	short	0	1	0	0	0	0
Tforsythia	medium	1	2	25	75790	75359	431
Adentalis	short	0	2	0	0	0	0
Tforsythia	long	8	0	0	0	0	0
Tforsythia	short	2	2	1	2867	2823	44
